vol (cc),p (bar),CA,Avg p (kPa)
71.45,17.703,42,2082.8
73.27,17.953,43,2074.8
75.12,17.543,44,1964.45
76.99,15.746,45,1838.75
78.89,15.029,46,1834.2
80.82,15.655,47,1839.9
82.77,15.143,48,1740.9
84.75,13.675,49,1633.4
86.75,12.993,50,1602.1
88.77,13.049,51,1606.65
90.81,13.084,52,1573.1
92.88,12.378,53,1471.25
94.96,11.047,54,1396.15
97.06,10.876,55,1399.55
99.18,11.115,56,1392.2
101.32,10.729,57,1326.25
103.47,9.796,58,1235.8
105.64,8.92,59,1204.5
107.82,9.17,60,1217.55
110.02,9.181,61,1197.05
112.22,8.76,62,1129.35
114.44,7.827,63,1062.25
116.67,7.418,64,1049.75
118.91,7.577,65,1057.15
121.15,7.566,66,1032.1
123.41,7.076,67,975.75
125.67,6.439,68,922.85
127.93,6.018,69,906.95
130.2,6.121,70,916.05
132.47,6.2,71,905.8
134.75,5.916,72,863.7
137.03,5.358,73,826.15
139.31,5.165,74,818.2
141.59,5.199,75,818.2
143.87,5.165,76,796
146.15,4.755,77,755.05
148.43,4.346,78,716.95
150.7,3.993,79,709
152.97,4.187,80,726.1
155.23,4.335,81,721.55
157.49,4.096,82,683.4
159.74,3.572,83,641.85
161.99,3.265,84,626.5
164.23,3.265,85,632.2
166.46,3.379,86,633.35
168.68,3.288,87,615.15
170.89,3.015,88,583.3
173.09,2.651,89,562.8
175.28,2.605,90,563.9
177.45,2.673,91,566.2
179.62,2.651,92,559.95
181.77,2.548,93,537.2
183.9,2.196,94,516.75
186.02,2.139,95,507.65
188.13,2.014,96,504.2
190.22,2.07,97,503.6
192.29,2.002,98,496.8
194.35,1.934,99,484.3
196.39,1.752,100,460.95
198.41,1.467,101,442.75
200.42,1.388,102,442.75
202.4,1.467,103,448.45
204.37,1.502,104,442.8
206.31,1.354,105,429.7
208.24,1.24,106,421.15
210.14,1.183,107,412.6
212.03,1.069,108,403.5
213.89,1.001,109,404.1
215.73,1.081,110,405.8
217.55,1.035,111,398.4
219.34,0.933,112,390.45
221.12,0.876,113,380.2
222.87,0.728,114,370.5
224.59,0.682,115,369.35
226.29,0.705,116,369.95
227.97,0.694,117,364.25
229.63,0.591,118,361.95
231.25,0.648,119,360.85
232.86,0.569,120,350.65
234.44,0.444,121,343.25
235.99,0.421,122,339.8
237.52,0.375,123,339.2
239.02,0.409,124,338.1
240.5,0.353,125,329.6
241.95,0.239,126,321.05
243.37,0.182,127,314.2
244.77,0.102,128,305.65
246.14,0.011,129,302.8
247.49,0.045,130,306.2
248.81,0.079,131,306.2
250.1,0.045,132,303.95
251.37,0.034,133,298.3
252.61,-0.068,134,293.2
253.82,-0.068,135,289.2
255,-0.148,136,289.75
256.16,-0.057,137,290.3
257.29,-0.137,138,288.6
258.4,-0.091,139,286.9
259.47,-0.171,140,283.5
260.52,-0.159,141,280.65
261.55,-0.228,142,266.95
262.54,-0.433,143,260.15
263.51,-0.364,144,264.7
264.45,-0.342,145,265.8
265.37,-0.342,146,263.55
266.25,-0.387,147,261.85
267.11,-0.376,148,260.15
267.95,-0.421,149,252.75
268.75,-0.524,150,248.2
269.53,-0.512,151,247.1
270.28,-0.546,152,245.95
271.01,-0.535,153,247.65
271.71,-0.512,154,244.25
272.38,-0.603,155,240.85
273.03,-0.58,156,241.4
273.64,-0.592,157,237.4
274.23,-0.66,158,231.7
274.8,-0.706,159,227.15
275.34,-0.751,160,226.6
275.85,-0.717,161,231.15
276.33,-0.66,162,226.05
276.79,-0.819,163,218.65
277.23,-0.808,164,216.35
277.63,-0.865,165,216.9
278.01,-0.797,166,216.9
278.36,-0.865,167,214.65
278.69,-0.842,168,215.8
278.99,-0.842,169,216.95
279.26,-0.819,170,217.5
279.51,-0.831,171,220.35
279.73,-0.762,172,222.05
279.93,-0.797,173,218.05
280.1,-0.842,174,214.65
280.24,-0.865,175,215.2
280.36,-0.831,176,215.8
280.45,-0.853,177,215.25
280.52,-0.842,178,219.8
280.56,-0.762,179,220.35
280.57,-0.831,180,215.8
280.56,-0.853,181,212.4
280.52,-0.899,182,210.1
280.45,-0.899,183,212.4
280.36,-0.853,184,209
280.24,-0.967,185,203.85
280.1,-0.956,186,198.7
279.93,-1.07,187,195.85
279.73,-1.013,188,194.15
279.51,-1.104,189,189.6
279.26,-1.104,190,184.5
278.99,-1.206,191,179.4
278.69,-1.206,192,178.8
278.36,-1.218,193,179.95
278.01,-1.183,194,179.95
277.63,-1.218,195,175.4
277.23,-1.274,196,170.85
276.79,-1.309,197,170.85
276.33,-1.274,198,168.6
275.85,-1.354,199,165.15
275.34,-1.343,200,162.3
274.8,-1.411,201,158.9
274.23,-1.411,202,157.75
273.64,-1.434,203,156.05
273.03,-1.445,204,147.55
